Language,Algorithm,Matrix Size,Time,L1 DCM,L2 DCM
cpp,2,600,0.161838,27151216,54243346
cpp,2,600,0.1442,27149482,54199684
cpp,2,600,0.149609,27151470,54129557
cpp,2,1000,0.843129,125949525,256376991
cpp,2,1000,0.832349,125951215,256420966
cpp,2,1000,0.826607,125945625,256236603
cpp,2,1400,2.35567,348090659,681971127
cpp,2,1400,2.35083,348105920,682021379
cpp,2,1400,2.33097,348084714,682138996
cpp,2,1800,5.04921,749077876,1489023421
cpp,2,1800,5.0576,749064985,1490711246
cpp,2,1800,5.07128,749076214,1493787386
cpp,2,2200,9.44708,2073502802,2764888189
cpp,2,2200,9.46706,2073495849,2762916207
cpp,2,2200,9.43163,2073536384,2764782184
cpp,2,2600,15.8222,4399219896,4525055417
cpp,2,2600,15.8864,4399195572,4526551200
cpp,2,2600,15.8835,4399181687,4521790070
cpp,2,3000,24.3637,6762519719,6964987604
cpp,2,3000,24.3751,6762514506,6963241691
cpp,2,3000,24.4276,6762515055,6959529777
java,2,600,0.177466314,,
java,2,600,0.158823878,,
java,2,600,0.164373525,,
java,2,1000,0.901290123,,
java,2,1000,0.889119288,,
java,2,1000,0.893495669,,
java,2,1400,2.499068034,,
java,2,1400,2.456158724,,
java,2,1400,2.470425794,,
java,2,1800,5.296437491,,
java,2,1800,5.276134286,,
java,2,1800,5.310268968,,
java,2,2200,9.730494923,,
java,2,2200,9.712331284,,
java,2,2200,9.822492509,,
java,2,2600,16.021026762,,
java,2,2600,15.935284115,,
java,2,2600,16.054552169,,
java,2,3000,25.532681113,,
java,2,3000,26.555764187,,
java,2,3000,25.192738836,,
