Language,Algorithm,Matrix Size,Time,L1 DCM,L2 DCM
cpp,2,4096,58.4487,17681853603,17997570773
cpp,2,4096,58.4615,17681622085,17993290662
cpp,2,4096,58.4545,17682010145,18006592656
cpp,2,6144,198.264,59652349896,63146133018
cpp,2,6144,198.313,59651852961,63137915135
cpp,2,6144,198.271,59652792532,63151268039
cpp,2,8192,471.913,141289379810,159771375031
cpp,2,8192,471.862,141290177421,159800214408
cpp,2,8192,471.82,141287577743,159707869167
cpp,2,10240,925.99,275710529028,339423410432
cpp,2,10240,926.47,275710575850,339406144569
cpp,2,10240,926.029,275709882829,339422752396
