Language,Algorithm,Matrix Size,Time,L1 DCM,L2 DCM
cpp,"[3, 64]",4096,50.3847,10706859994,31172741340
cpp,"[3, 64]",4096,50.2531,10706841885,31169116429
cpp,"[3, 64]",4096,50.2074,10706966236,31167550092
cpp,"[3, 64]",6144,159.045,36141289597,84574148022
cpp,"[3, 64]",6144,159.069,36141503199,84576431647
cpp,"[3, 64]",6144,158.979,36141615490,84575094438
cpp,"[3, 64]",8192,401.099,85717343898,231624079657
cpp,"[3, 64]",8192,401.074,85716840228,231621726158
cpp,"[3, 64]",8192,401.392,85719146981,231626912755
cpp,"[3, 64]",10240,799.532,167153051396,484010038669
cpp,"[3, 64]",10240,799.806,167152665135,484013226315
cpp,"[3, 64]",10240,799.371,167152502082,484009678484
cpp,"[3, 128]",4096,45.1318,9626711864,29495239777
cpp,"[3, 128]",4096,45.1356,9626267465,29493816011
cpp,"[3, 128]",4096,45.141,9626412934,29494208088
cpp,"[3, 128]",6144,153.376,32487524661,104015113852
cpp,"[3, 128]",6144,153.38,32487398675,104015102163
cpp,"[3, 128]",6144,153.4,32488114358,104016105133
cpp,"[3, 128]",8192,390.77,77075201466,250115318399
cpp,"[3, 128]",8192,390.784,77074767741,250127226849
cpp,"[3, 128]",8192,390.801,77077356472,250126569150
cpp,"[3, 128]",10240,850.751,150492956135,490450603335
cpp,"[3, 128]",10240,853.237,150498867718,490486069232
cpp,"[3, 128]",10240,849.966,150498376112,490465904153
cpp,"[3, 256]",4096,42.1621,9061617597,22925678815
cpp,"[3, 256]",4096,42.1693,9061558844,22924910994
cpp,"[3, 256]",4096,42.1781,9061501218,22926854724
cpp,"[3, 256]",6144,143.958,30583965650,77347626873
cpp,"[3, 256]",6144,143.837,30583751143,77347579337
cpp,"[3, 256]",6144,143.934,30583809210,77340877870
cpp,"[3, 256]",8192,343.141,72498055372,183411847003
cpp,"[3, 256]",8192,343.154,72497812004,183413237840
cpp,"[3, 256]",8192,343.355,72498189039,183408883366
cpp,"[3, 256]",10240,768.499,141604444353,355886245496
cpp,"[3, 256]",10240,768.478,141604023986,355887908279
cpp,"[3, 256]",10240,768.289,141604348565,355871168135
cpp,"[3, 512]",4096,42.2706,8773127577,19837563516
cpp,"[3, 512]",4096,42.2617,8773119613,19838371850
cpp,"[3, 512]",4096,42.2611,8773110680,19839187807
cpp,"[3, 512]",6144,155.493,29643281696,67026844948
cpp,"[3, 512]",6144,155.536,29643272539,67030837311
cpp,"[3, 512]",6144,155.515,29643178416,67030576079
cpp,"[3, 512]",8192,387.334,70154566100,156898564865
cpp,"[3, 512]",8192,387.565,70154390960,156889848621
cpp,"[3, 512]",8192,387.331,70154406103,156909740321
cpp,"[3, 512]",10240,792.209,137072584147,304230583610
cpp,"[3, 512]",10240,791.887,137072442882,304231576260
cpp,"[3, 512]",10240,792.21,137072494919,304228034773
cpp,"[3, 1024]",4096,52.7452,8788511575,18802975251
cpp,"[3, 1024]",4096,52.7584,8788489913,18802759834
cpp,"[3, 1024]",4096,52.7665,8788603900,18808800868
cpp,"[3, 1024]",6144,184.127,29710131809,63174729771
cpp,"[3, 1024]",6144,184.622,29709906570,63195085232
cpp,"[3, 1024]",6144,183.956,29709678379,63214495026
cpp,"[3, 1024]",8192,444.544,70415360542,149772343200
cpp,"[3, 1024]",8192,441.399,70415174063,149435054569
cpp,"[3, 1024]",8192,442.997,70414390006,149617723398
cpp,"[3, 1024]",10240,875.344,137562240178,292070958437
cpp,"[3, 1024]",10240,876.549,137563040452,292202724426
cpp,"[3, 1024]",10240,877.038,137563630835,292243498459
